LFPG
P K05 0 2741,-243
P K01 0 2745,-235
P P94 0 -719,-2073
P P93 0 -759,-2052
P P92 0 -794,-2075
P V08 0 -353,753
P V07 0 -368,696
P V06 0 -352,758
P V05 0 -309,788
P V04 0 -252,757
P V03 0 -254,672
P V02 0 -210,701
P V01 0 -261,666
P P86 0 -701,-1842
P P85 0 -709,-1885
P P84 0 -707,-1925
P P83 0 -746,-1955
P P82 0 -788,-1959
P P81 0 -831,-1936
P P80 0 -837,-1896
P P76 0 -855,-2119
P P75 0 -851,-2084
P P74 0 -861,-2050
P P73 0 -858,-2000
P P72 0 -861,-1965
P P71 0 -864,-1930
P P70 0 -867,-1895
P E44 0 2298,-808
P E42 0 2371,-805
P E40 0 2416,-801
P E38 0 2453,-804
P E34 0 2512,-886
P E32 0 2440,-885
P E30 0 2369,-883
P E29 0 2681,-976
P E28 0 2367,-887
P E26 0 2297,-890
P E25 0 2676,-934
P E24 0 2225,-896
P E22 0 2153,-901
P E21 0 2677,-892
P E20 0 2081,-917
P E18 0 2008,-921
P E17 0 2671,-850
P E16 0 1956,-924
P E13 0 2666,-796
P E12 0 1901,-931
P E09 0 2664,-752
P E05 0 2652,-710
P E01 0 2649,-668
P NW4 0 -1939,924
P NW3 0 -2101,920
P NW2 0 -2235,910
P NW1 0 -2363,897
P EN93 0 -2141,343
P EN92 0 -2145,402
P EN91 0 -2088,411
P EN90 0 -2151,455
P EN82 0 -2382,314
P EN81 0 -2387,369
P EN80 0 -2392,426
P EN57 0 -2503,479
P EN56 0 -2602,390
P EN55 0 -2722,217
P EN54 0 -2755,236
P EN53 0 -2758,274
P EN52 0 -2728,283
P EN51 0 -2761,314
P EN50 0 -2754,438
P EN49 0 -2773,-85
P EN42 0 -2909,279
P EN41 0 -2916,358
P EN40 0 -2922,429
P J41 0 4088,-512
P J40 0 4092,-558
P EN37 0 -3126,253
P EN36 0 -3141,431
P J39 0 4098,-591
P EN35 0 -3076,257
P J38 0 4095,-615
P EN34 0 -3091,435
P J37 0 4080,-623
P EN33 0 -3027,261
P J36 0 4063,-624
P EN32 0 -3042,439
P J35 0 4047,-627
P EN31 0 -2977,265
P J34 0 4029,-624
P EN30 0 -2992,444
P J33 0 4026,-598
P J32 0 4015,-584
P J31 0 4024,-565
P J30 0 4022,-529
P EN24 0 -2921,570
P EN23 0 -2851,575
P EN22 0 -2781,582
P EN21 0 -2709,588
P EN20 0 -2641,593
P J21 0 3887,-545
P J20 0 3892,-582
P J19 0 3903,-597
P J18 0 3895,-616
P J17 0 3904,-641
P J16 0 3890,-651
P J15 0 3870,-647
P J14 0 3851,-653
P J13 0 3829,-653
P J12 0 3830,-619
P J11 0 3829,-590
P J10 0 3821,-541
P J03 0 3675,-677
P J02 0 3674,-643
P J01 0 3673,-607
P SW2 0 206,-1305
P SW1 0 63,-1362
P U08 0 -221,643
P U07 0 -268,610
P U06 0 -215,646
P U05 0 -165,642
P U04 0 -141,580
P U03 0 -197,517
P U02 0 -144,511
P U01 0 -206,517
P P5 0 -2476,655
P P4 0 -2006,733
P P3 0 -2063,724
P P2 0 -2188,618
P P1 0 -2300,613
P D24 0 1261,-503
P D22 0 1263,-501
P D20 0 1277,-474
P D19 0 1301,-283
P D18 0 1330,-476
P D17 0 1322,-272
P D16 0 1380,-473
P D15 0 1343,-279
P D14 0 1434,-472
P D13 0 1375,-268
P D12 0 1484,-464
P D11 0 1384,-274
P D10 0 1481,-471
P D09 0 1426,-272
P D08 0 1511,-460
P D07 0 1430,-263
P NE4 0 942,1171
P D06 0 1549,-482
P NE3 0 792,1163
P D05 0 1467,-268
P D04 0 1545,-481
P D03 0 1514,-262
P D02 0 1576,-487
P J6 0 3701,-604
P J5 0 3706,-630
P J4 0 3711,-674
P I91 0 -3643,588
P I90 0 -3645,535
P I89 0 -3785,519
P I88 0 -3816,534
P I87 0 -3775,555
P I86 0 -3767,591
P I85 0 -3759,627
P I84 0 -3751,663
P I83 0 -3838,712
P I82 0 -3845,675
P I81 0 -3853,639
P I80 0 -3862,603
P Z09 0 -577,328
P Z08 0 -562,385
P Z07 0 -567,344
P Z06 0 -587,313
P Z05 0 -651,303
P Z04 0 -695,354
P Z03 0 -665,433
P Z02 0 -716,420
P Z01 0 -651,438
P I4Y 0 -3807,378
P I4X 0 -3776,381
P I4W 0 -3742,383
P I4V 0 -3708,386
P I4U 0 -3674,389
P I4T 0 -3639,392
P I4S 0 -3606,394
P I4R 0 -3572,398
P I4P 0 -3538,401
P I4O 0 -3503,403
P I4N 0 -3469,406
P I4M 0 -3435,409
P I4L 0 -3402,412
P I4K 0 -3360,416
P I4J 0 -3327,419
P I4I 0 -3292,422
P I49 0 -3779,336
P I48 0 -3720,341
P I47 0 -3648,348
P I46 0 -3589,353
P I3H 0 -3501,524
P I45 0 -3530,358
P I3G 0 -3467,527
P I44 0 -3470,362
P I3F 0 -3433,529
P I43 0 -3411,368
P I3E 0 -3387,536
P I42 0 -3336,374
P I3D 0 -3359,538
P I41 0 -3277,380
P I3C 0 -3332,541
P I3B 0 -3304,543
P I3A 0 -3277,545
P I34 0 -3491,566
P I33 0 -3439,570
P I32 0 -3370,576
P I31 0 -3317,580
P I30 0 -3265,585
P I27 0 -3325,60
P I26 0 -3326,80
P I25 0 -3315,120
P I24 0 -3335,179
P I23 0 -3326,240
P I22 0 -3344,279
P I21 0 -3334,299
P I20 0 -3307,365
P SE4 0 4109,-954
P SE3 0 3984,-959
P SE2 0 3816,-973
P SE1 0 3689,-980
P T08 0 -191,473
P T07 0 -248,479
P T06 0 -184,473
P T05 0 -148,436
P T04 0 -168,373
P T03 0 -217,319
P T02 0 -250,329
P T01 0 -260,356
P N79 0 -1061,-2072
P N78 0 -1051,-2081
P N77 0 -1145,-2085
P N76 0 -1120,-2087
P N73 0 -1136,-2198
P N72 0 -1131,-2192
P N71 0 -1049,-2195
P N70 0 -1059,-2186
P N69 0 -1074,-1916
P N68 0 -1061,-1926
P N67 0 -1133,-1932
P N66 0 -1155,-1930
P N65 0 -1168,-1987
P N63 0 -1146,-2041
P N61 0 -1063,-2040
P N60 0 -1073,-2031
P N53 0 -1158,-1745
P N51 0 -1161,-1706
P N43 0 -1152,-1658
P N41 0 -1154,-1624
P N33 0 -1158,-1590
P N31 0 -1161,-1556
P C12 0 1598,-793
P C10 0 1549,-820
P C08 0 1495,-828
P C07 0 1540,-1053
P C06 0 1434,-850
P C05 0 1467,-1057
P C04 0 1385,-838
P C03 0 1396,-1064
P C02 0 1319,-844
P N11 0 -1127,-2177
P N10 0 -1134,-2103
P N09 0 -1140,-2022
P N08 0 -1145,-1948
P N06 0 -1160,-1794
P N05 0 -1165,-1719
P N04 0 -1174,-1642
P N03 0 -1197,-1576
P N02 0 -1205,-1512
P N01 0 -1204,-1452
P H87 0 2098,418
P H80 0 2055,414
P Y08 0 -686,472
P Y07 0 -630,487
P Y06 0 -698,469
P H70 0 2142,422
P Y05 0 -738,493
P Y04 0 -740,558
P Y03 0 -653,597
P Y02 0 -713,621
P Y01 0 -657,595
P H65 0 2242,430
P H60 0 2198,426
P H50 0 2285,434
P H40 0 2030,701
P H34 0 2074,703
P H30 0 2117,707
P H22 0 2174,712
P H21 0 2218,716
P H20 0 2261,719
P S31 0 -32,171
P S30 0 -44,185
P H12 0 1900,437
P H11 0 1971,444
P H10 0 1882,652
P S29 0 -101,164
P S28 0 -144,162
P S27 0 -171,160
P H09 0 1953,658
P S26 0 -201,160
P H08 0 2062,411
P S25 0 -237,153
P H07 0 2134,418
P S24 0 -245,153
P H06 0 2206,423
P S23 0 -310,143
P H05 0 2278,430
P S22 0 -477,156
P H04 0 2037,705
P S21 0 -487,131
P H03 0 2110,711
P S20 0 -504,154
P H02 0 2180,718
P H01 0 2252,722
P S19 0 -551,142
P S18 0 -564,125
P S17 0 -599,137
P S16 0 -631,119
P S15 0 -644,134
P S14 0 -699,134
P S13 0 -711,122
P S12 0 -745,146
P S11 0 -765,169
P S10 0 -786,154
P S09 0 -783,176
P S08 0 -800,208
P S07 0 -824,228
P S06 0 -826,195
P B20 0 882,-555
P B18 0 926,-523
P M34 0 -1001,-1106
P B16 0 975,-513
P M32 0 -998,-1148
P B14 0 1029,-501
P B13 0 888,-318
P M30 0 -994,-1191
P B12 0 1073,-499
P B11 0 929,-314
P B10 0 1071,-500
P FN2 0 144,944
P M28 0 -950,-1152
P B09 0 969,-310
P M26 0 -949,-1102
P B08 0 1102,-483
P B07 0 1009,-307
P M24 0 -886,-1094
P B06 0 1144,-499
P M23 0 -873,-1088
P B05 0 1049,-303
P M22 0 -839,-1114
P B04 0 1138,-497
P M21 0 -837,-1085
P B03 0 1090,-300
P M20 0 -835,-1160
P B02 0 1169,-498
P B01 0 1136,-295
P M17 0 -955,-1104
P M16 0 -835,-1091
P M15 0 -785,-1099
P M14 0 -716,-1095
P M13 0 -638,-1088
P M12 0 -582,-1083
P M11 0 -497,-1075
P M10 0 -424,-1070
P M09 0 -352,-1070
P M08 0 -280,-1064
P M07 0 -207,-1058
P M06 0 -135,-1052
P X08 0 -657,642
P X07 0 -604,617
P X06 0 -663,644
P X05 0 -684,691
P X04 0 -643,742
P X03 0 -559,725
P X02 0 -582,773
P X01 0 -555,717
P G35 0 689,-538
P G34 0 662,-537
P G33 0 652,-531
P G32 0 630,-540
